cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
270,34,-25.104072056764704,-52.90547495735294,6,50,12.592086834733893,19,0,Acessar a via sem observar a presença dos outros veículos,13.743024490425757,0.1790692088595674,baixo,0.10486856458603788
271,52,0.08726593288461539,-51.086572714807694,2,65,10.197115384615385,19,4,Acessar a via sem observar a presença dos outros veículos,6.348636218702193,1.258921948453803,baixo,0.7372643152946761
272,18,-8.015364209444446,-36.06792806611111,1,21,10.222222222222221,18,2,Acessar a via sem observar a presença dos outros veículos,6.897995428947343,0.3705049952832326,baixo,0.21697938620916296
273,19,-18.01903484368421,-49.26287540368421,2,25,9.394736842105264,2,0,Velocidade Incompatível,7.38470874376494,0.3421332204682858,baixo,0.20036398192748597
274,38,-23.95493272605263,-54.30968338078948,2,37,10.030701754385966,15,1,Ausência de reação do condutor,10.002162029196406,0.3760765987163222,baixo,0.22024229253567143
275,10,-5.113487880999999,-39.724632057,0,13,16.0,17,2,Manobra de mudança de faixa,2.203704774198246,1.7075585001704936,baixo,1.0
276,25,-18.2106896848,-45.23283404439999,0,29,6.233333333333333,18,2,Acessar a via sem observar a presença dos outros veículos,7.2457057465784835,0.4672875206147639,baixo,0.273658279097382
277,26,-24.6395868,-50.62901824923077,1,30,10.0,13,2,Reação tardia ou ineficiente do condutor,10.483916553506159,0.23441901068818968,baixo,0.13728315057128865
278,34,-23.193448545882354,-52.21879586235294,2,51,10.397058823529411,15,6,Reação tardia ou ineficiente do condutor,13.299888371201561,0.1911325399541626,baixo,0.11193323094645291
279,47,-26.218020266170214,-52.68514377914894,4,50,9.613475177304965,18,5,Acessar a via sem observar a presença dos outros veículos,8.599453207645727,0.6270797410609785,baixo,0.3672376325603878
280,21,-25.20723784666667,-50.97307132380952,4,18,11.370748299319727,22,6,Ausência de reação do condutor,7.693518369586452,0.34889386164922004,baixo,0.20432322618193416
281,13,-31.33152549076923,-53.976785612307694,0,13,5.461538461538462,8,2,Animais na Pista,3.858055823688335,0.8184030007596923,baixo,0.4792825549918071
282,26,-4.578148655384616,-37.74880254192308,3,33,12.5,17,2,Acessar a via sem observar a presença dos outros veículos,7.4042717160859395,0.4657558422809173,baixo,0.2727612800582898
283,42,-16.656866514761905,-43.738753901428574,6,55,12.872448979591836,14,4,Velocidade Incompatível,9.733393999375162,0.438692884794763,baixo,0.2569123603970002
284,30,-4.295267683333333,-47.554695714,3,40,14.68888888888889,18,1,Acessar a via sem observar a presença dos outros veículos,9.27850727050652,0.34446847912859324,baixo,0.20173158289698379
285,84,-2.9246915460714282,-41.739552890357146,4,102,9.842261904761905,18,1,Acessar a via sem observar a presença dos outros veículos,10.742290224629091,0.7216693287676457,baixo,0.4226322721567604
286,41,-4.836011614878049,-42.17614394804878,6,42,15.497967479674795,18,4,Acessar a via sem observar a presença dos outros veículos,9.665885806707879,0.4341870475906536,baixo,0.2542736003172375
287,32,-20.275018571875,-49.1808661284375,2,47,12.828125,8,1,Ausência de reação do condutor,13.27365054695349,0.18059730418464454,baixo,0.10576346530242597
288,24,-16.07766476625,-57.69885925666667,2,24,10.373677248677248,10,4,Acessar a via sem observar a presença dos outros veículos,8.242612227411618,0.34812549338963245,baixo,0.2038732455461253
289,12,-27.322471199166667,-50.7837928625,4,10,15.25,21,5,Velocidade Incompatível,6.509125173895579,0.2766971822197415,baixo,0.16204257844877015
